question,answer,difficulty
What is the maximum CPU frequency specified for the STM32H753xI Cortex-M7 core?,Up to 480 MHz.,1
How large are the Cortex-M7 L1 instruction cache and data cache in the STM32H753xI?,16 Kbytes of instruction cache and 16 Kbytes of data cache.,1
"How many protected regions can the MPU define, and how many independent subregions can each region contain?","Up to 16 protected regions, with each region divisible into up to 8 independent subregions.",1
"How much embedded flash memory does the STM32H753xI contain, and into how many independent banks is it divided?",2 Mbytes of flash memory divided into two independent banks.,1
What are the sizes of the ITCM RAM and DTCM RAM?,64 Kbytes of ITCM RAM and 128 Kbytes of DTCM RAM.,1
How much SRAM is available in the Backup domain?,4 Kbytes of Backup SRAM.,1
What is the maximum external flash address space that can be mapped by the Quad-SPI interface?,Up to 256 Mbytes of external flash can be mapped.,1
"How many ADCs are provided, and which configurable resolutions are supported?","Three ADCs are provided; their configurable resolutions are 16, 14, 12, 10, and 8 bits.",1
To which ADC input is the internal temperature sensor connected?,The internal temperature sensor is connected to ADC3_IN18.,1
How many DAC channels are provided and what is their resolution?,"Two DAC channels are provided, each with 12-bit resolution.",1
"How many operational amplifiers are integrated, and what bandwidth is stated in the functional overview?","Two operational amplifiers are integrated, with a stated bandwidth of 7.3 MHz.",1
How many digital filters and external serial channels does the DFSDM provide?,The DFSDM provides 4 digital filters and 8 external serial channels.,1
"How many timers make up HRTIM1, and how many outputs does it provide?",HRTIM1 consists of 6 timers (1 master and 5 slave timers) and provides 10 outputs.,1
What is the maximum Fast-mode Plus data rate supported by each I2C interface?,1 Mbit/s.,1
"How many SPDIFRX inputs are supported, and what is the maximum symbol rate?","Up to 4 inputs are supported, with a maximum symbol rate of 12.288 MHz.",1
How is one 266-bit flash word organized in the STM32H753xI?,"It contains one 256-bit flash word (8 words, 32 bytes) plus 10 ECC bits, for a total of 266 bits.",2
What does each independent flash bank contain?,"Each bank contains 1 Mbyte of user flash organized as eight 128-Kbyte sectors, 128 Kbytes of System flash memory, and 2 Kbytes (64 flash words) of user option bytes.",2
List the user SRAM blocks by power domain and size.,"D1 contains 512 Kbytes of AXI-SRAM. D2 contains SRAM1 = 128 Kbytes, SRAM2 = 128 Kbytes, and SRAM3 = 32 Kbytes. D3 contains SRAM4 = 64 Kbytes.",2
"What ECC protection is used for the SRAMs, and what error capability does it provide?",The SRAMs use 7 ECC bits per 32-bit word; AXI-SRAM and ITCM use 8 ECC bits per 64-bit word. The ECC provides single-error correction and double-error detection (SECDED).,2
"What boot-address range can be programmed through BOOT_ADDx, and which memory types can be selected as boot memory?","BOOT_ADDx can program a boot address from 0x00000000 to 0x3FFFFFFF. The range covers all flash address space, all RAM address space (ITCM, DTCM, and SRAMs), and System memory bootloader space.",2
Through which interfaces can the embedded System bootloader reprogram the flash memory?,"FDCAN, USART, I2C, SPI, and USB-DFU.",2
"What are the specified operating supply-voltage ranges for VDD, VDDLDO, VDDA, and VBAT?",VDD: 1.62 to 3.6 V; VDDLDO: 1.62 to 3.6 V; VDDA: 1.62 to 3.6 V; VBAT: 1.2 to 3.6 V.,2
"What supply relationship is required when VDD is below 1 V, and how does this change when VDD is above 1 V?","When VDD is below 1 V, VDDA, VDD33USB, and VDD50USB must remain below VDD + 300 mV. When VDD is above 1 V, the supplies are independent, subject to the datasheet's stated power-down exception.",2
"For revision V with the internal regulator enabled, what VCAP external capacitors are required and what is the bypass-mode replacement?","Two 2.2 µF capacitors are required, with ±20% tolerance and ESR below 100 mΩ. In regulator-bypass mode, they are replaced by two 100 nF capacitors.",2
"For revision V in VOS0, what are the maximum fCPU, fHCLK, and fPCLK frequencies?","fCPU = 480 MHz, fHCLK = 240 MHz, and fPCLK = 120 MHz.",2
"For revision V, what minimum VDDA is required by the ADC/comparator, DAC, OPAMP, and VREFBUF?",ADC and comparator: 1.62 V; DAC: 1.8 V; OPAMP: 2.0 V; VREFBUF: 1.8 V.,2
"For revision V, what are the minimum, typical, and maximum VREFINT values at VDD = 3.3 V, and what is the VREFINT startup time?","VREFINT is 1.180 V minimum, 1.216 V typical, and 1.255 V maximum. Its startup time tS_vrefint is 4.3 µs.",2
"What fractions of VREFINT are produced by VREFINT_DIV1, VREFINT_DIV2, and VREFINT_DIV3?","VREFINT_DIV1 = 25%, VREFINT_DIV2 = 50%, and VREFINT_DIV3 = 75% of VREFINT.",2
"For revision V at VDD = 3.3 V, what is the typical Standby current with Backup SRAM OFF and RTC/LSE ON, and what is it with Backup SRAM OFF and RTC/LSE OFF?",With Backup SRAM OFF and RTC/LSE ON: 2.95 µA. With Backup SRAM OFF and RTC/LSE OFF: 2.16 µA.,2
"For revision V, what are the wakeup timings from Sleep and Standby?",Sleep wakeup is typically 9 CPU cycles and maximum 10 CPU cycles. Standby wakeup is typically 390 µs and maximum 500 µs.,2
"For revision V, how do the supported HSE frequency ranges differ between an external clock source in bypass mode and a crystal/ceramic resonator?","An external HSE clock source supports 4 to 50 MHz, while an HSE crystal/ceramic resonator supports 4 to 48 MHz.",2
"For revision V, what typical HSE oscillator current is given at 48 MHz and what typical startup time is specified for the HSE crystal oscillator?","At 48 MHz, the typical HSE oscillator current is 0.95 mA. The typical HSE crystal oscillator startup time is 2 ms.",2
"For revision V, what are the typical LSE oscillator currents for LSEDRV settings 00, 01, 10, and 11?",LSEDRV 00: 290 nA; 01: 390 nA; 10: 550 nA; 11: 900 nA.,2
"For revision V at VDD = 3.3 V and TJ = 30 °C, what minimum/typical/maximum HSI48 frequency is specified, and what factory-calibrated accuracy range applies over TJ = -40 to 125 °C?","HSI48 frequency is 47.5 MHz minimum, 48 MHz typical, and 48.5 MHz maximum. The factory-calibrated accuracy range over -40 to 125 °C is -4.5% to +3.5%.",2
"For revision V at VDD = 3.3 V and TJ = 30 °C, what minimum/typical/maximum HSI frequency is specified, and what temperature-drift range applies from -40 °C to TJmax?","HSI frequency is 63.7 MHz minimum, 64 MHz typical, and 64.3 MHz maximum. The temperature-drift range from -40 °C to TJmax is -2% to +1% relative to 64 MHz.",2
"For revision V at VDD = 3.3 V and TJ = 30 °C, what minimum/typical/maximum CSI frequency is specified, and what temperature-drift ranges are given for 0 to 85 °C and -40 to 125 °C?","CSI frequency is 3.96 MHz minimum, 4 MHz typical, and 4.04 MHz maximum. Frequency drift is -3.7% to +4.5% for 0 to 85 °C and -11% to +7.5% for -40 to 125 °C.",2
"For revision V, what LSI frequency range is specified over TJ = -40 to 125 °C and VDD = 1.62 to 3.6 V, and what is its startup time?",The LSI frequency range is 29.4 to 33.6 kHz. Startup time is 80 µs typical and 130 µs maximum.,2
"For revision V, what are the input-clock range, VCO-output range, and lock times of the wide-range PLL?","PLL input clock: 2 to 16 MHz. VCO output: 192 to 960 MHz. Normal-mode lock time: 50 µs typical, 150 µs maximum. Sigma-delta-mode lock time for CKIN ≥ 8 MHz: 58 µs typical, 166 µs maximum.",2
"For revision V, what are the input-clock range and VCO-output range of the medium-range PLL, and is sigma-delta mode allowed?",PLL input clock: 1 to 2 MHz. VCO output: 150 to 420 MHz. Sigma-delta mode is forbidden.,2
"For revision V, compare the typical and maximum time to program one 266-bit flash word using x8 and x64 parallelism.",x8: 290 µs typical and 580 µs maximum. x64: 100 µs typical and 200 µs maximum.,2
"For revision V, compare the typical and maximum erase time for one 128-Kbyte flash sector using x8 and x64 parallelism.",x8: 2 s typical and 4 s maximum. x64: 1 s typical and 2 s maximum.,2
What flash endurance and data-retention values are specified for revision V?,"Endurance is at least 10 kcycles. Data retention is 30 years after 1 kcycle at TA = 85 °C, and 20 years after 10 kcycles at TA = 55 °C.",2
"For revision V, what maximum ADC clock frequency is allowed for BOOST settings 11, 10, 01, and 00?",BOOST 11: 50 MHz; BOOST 10: 25 MHz; BOOST 01: 12.5 MHz; BOOST 00: 6.25 MHz.,2
